1 160 600 1
1 265 1026 1
1 365 1470 1
1 454 1890 1
2 164 516 1
2 260.5 930 1
2 355 1380 1
2 451 1770 1
3 156 480 1
3 260 900 1
3 363 1380 1
3 466 1860 1
4 160 528 1
4 259 930 1
4 361 1410 1
4 462 1872 1
5 157 540 1
5 258 978 1
5 359 1410 1
5 471 1920 1
6 161 546 1
6 264 996 1
6 359 1422 1
6 471 1920 1
7 161 564 1
7 263 1062 1
7 363 1500 1
7 468 1980 1
8 158 492 1
8 255 900 1
8 360 1392 1
8 461 1860 1
9 161 516 1
9 263 960 1
9 361 1380 1
9 462 1800 1
10 155 528 1
10 255 930 1
10 355 1356 1
10 455 1860 1
11 158 564 1
11 267 1020 1
11 360 1380 1
11 464 1884 1
12 165 618 1
12 263 1056 1
12 362 1500 1
12 461 1920 1
13 158 564 1
13 263 1038 1
13 367 1410 1
13 464 1770 1
14 162 552 1
14 268 1014 1
14 360 1440 1
14 465 1944 1
15 171 624 1
15 256 978 1
15 357 1440 1
15 466 1980 1
16 158.5 468 1
16 263 930 1
16 361 1332 1
16 460 1860 1
17 162 480 1
17 263 900 1
17 356 1272 1
17 463 1758 1
18 166 540 2
18 216.5 720 2
18 259.5 900 2
18 348.5 1320 2
18 444.5 1716 2
19 156 426 2
19 247 810 2
19 350 1218 2
19 465.5 1692 2
20 143.5 390 2
20 249 822 2
20 359 1290 2
20 463 1716 2
21 146 570 2
21 253.5 900 2
21 358 1284 2
21 451.5 1728 2
22 149 360 2
22 244.5 870 2
22 344.5 1320 2
22 446 1800 2
23 149 480 2
23 235.5 840 2
23 344 1302 2
23 442 1752 2
24 151.5 450 2
24 247.5 810 2
24 332 1128 2
24 456.5 1560 2
25 153 480 2
25 240.5 870 2
25 347.5 1326 2
25 440 1716 2
26 149.5 378 2
26 250 840 2
26 348.5 1224 2
26 461.5 1608 2
27 180.5 594 2
27 239.5 762 2
27 346.5 1260 2
27 439.5 1620 2
28 164 516 2
28 250 870 2
28 345.5 1272 2
28 459 1704 2
29 159.5 486 2
29 253 852 2
29 349 1242 2
29 434.5 1620 2
30 175.5 570 2
30 237 774 2
30 459 1716 2
31 183 600 3
31 249 900 3
31 345.5 1290 3
31 449.5 1710 3
32 160.5 480 3
32 244.5 810 3
32 348.5 1260 3
32 424.5 1560 3
33 149.5 510 3
33 254.5 930 3
33 353 1380 3
33 403.5 1560 3
34 188.5 600 3
34 243 840 3
34 339.5 1290 3
34 462.5 1710 3
35 208 720 3
35 248.5 900 3
35 350 1380 3
35 448 1740 3
36 182.5 600 3
36 245.5 840 3
36 350.5 1260 3
36 443.5 1560 3
37 184 600 3
37 250 840 3
37 350 1260 3
37 446 1620 3
38 192 600 3
38 251.5 900 3
38 342.5 1290 3
38 452 1710 3
39 181.5 480 3
39 251.5 780 3
39 344 1140 3
39 479 1710 3
40 174.5 540 3
40 254 840 3
40 345 1200 3
40 455 1650 3
41 213.5 780 3
41 235.5 780 3
41 341 1290 3
41 454 1680 3
